"ID","WH","Location","Description","Entry_By","Entry_On","ZONE","LOCLEVEL","STLOCATION","SLOC","LOCATIONTYPE","ZONEBARCODE","AISLES","CUSTID","PRIORITYLOCATION","LOCATIONSTATUS","CCSTATUS","AISLESBARCODE","LOCATIONBARCODE"
80,MAA,F55,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
81,MAA,F56,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
82,MAA,F57,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
83,MAA,F58,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
84,MAA,F59,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
85,MAA,F60,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
86,MAA,F61,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
60,AWLKOL,AB-R1,"",SANJAY MAICK,2020-04-29,,,,,,,,HLL01,,,,,
65,CHDWH,"1st floor","",AMIT,2020-04-30,,,,,,,,HLL01,,,,,
66,AWLKOL,AB-R2,"",SANJAY MAICK,2020-04-30,,,,,,,,HLL01,,,,,
110,MAA,F84,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
111,MAA,F85,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
112,MAA,F86,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
113,MAA,F87,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
114,MAA,F88,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
115,MAA,F89,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
116,MAA,F90,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
117,MAA,F91,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
118,MAA,F92,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
119,MAA,F93,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
120,MAA,F94,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
121,MAA,F95,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
122,MAA,F96,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
123,MAA,F97,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
124,MAA,F98,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
125,MAA,F99,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
126,MAA,F100,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
127,MAA,F101,OK Stock Location,Rajini Nagaiah,2020-05-02,abc,,,,,abc,R1-R2,HLL01,,,,,
128,MAA,F102,OK Stock Location,Rajini Nagaiah,2020-05-02,,,,,,,,HLL01,,,,,
129,MAA,F103,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000001
